test, case
940, 1
940, 1
940, 5
4000, 5
4000, 6
4000, 18
4000, 49
8002, 98
10000, 191
11981, 359
15637, 670
18607, 947
20345, 1236
24017, 1529
27969, 1872
33004, 2433
40290, 3629
